Artist,Pitch Count
percussion-mantra,4
percussionist-manoj-bagga,1
percussionist-shivam-arora,1
perisha,6
petrified-souls,1
petta-rap,2
phalguna-somraj,1
photographians,1
piah-dance-studios,1
piya-saini,1
piyush-chauhan,1
play-it-,2
play-it-by-ear,3
pooja-and-pranay,1
pooja-chopra,1
pooja-insa,1
pooja-surve,1
pooja-vijay,9
poonam-chavan,1
poonam-dhillon,6
poonam-pandey-246840,3
poppy-barman,2
prabhu-deva,2
prachand---indian-band,1
prachiey,1
pradeep-chamaria-photography,1
pradeep-pallavi,1
pradeep-varma,1
prakash-ulliyeri,1
praksh-joshi,1
pramay-lokhande,1
pranav-dhawan,5
pranay-mathur,1
praneet-bhat,3
pranetra,2
pranjal-photography,1
pranjli-mishra,1
prasad-kshirsagar,2
prashant-ramchandani,1
prashant-saxena,1
prashant-tamang,1
prashmita-paul,2
pratap-&-harish,1
pratap-batra,1
pratap-fauzdar,13
prateek-thakur-photography,1
pratham-tandon,1
prathaviraj-purohit,19
pratibha's-music,2
pratibha-sonhiya,2
pratik-live,1
pratika-sood,8
pratyush-chaubey,15
pravesh-rana,2
prayas,9
prayasRecommended),1
preet-kamal,1
preeti-das,2
